Order_ID,Order_Date,User_ID,Product_ID,Loc_ID,Referral_Source,Quantity,Unit_Price,Unit_Cost,Status
ORD-43207,2024-01-02 19:52:00,U-5412,P11,L-SW2,Direct Link,3,35000,4500,Completed
ORD-46881,2024-01-02 20:02:00,U-5465,P16,L-NC1,Chant,1,8500,3800,Completed
ORD-43184,2024-01-02 20:42:00,U-5141,P16,L-SW1,Profile Feed,1,8500,3800,Completed
ORD-44076,2024-01-02 20:46:00,U-5245,P16,L-NC1,Chant,1,8500,3800,Completed
ORD-40190,2024-01-02 21:00:00,U-5566,P13,L-SW2,Chant,1,4500,2100,Completed
ORD-45404,2024-01-02 21:13:00,U-5322,P12,L-SE1,Chant,1,28000,19000,Completed
ORD-45643,2024-01-02 21:40:00,U-5392,P16,L-SW1,Reels,1,8500,3800,Completed
ORD-45989,2024-01-02 21:57:00,U-5873,P13,L-SS1,Chant,1,4500,2100,Completed
ORD-44169,2024-01-02 22:02:00,U-5308,P13,L-SE1,Direct Link,1,4500,2100,Completed
ORD-40178,2024-01-03 08:00:00,U-5950,P11,L-SW2,Chant,1,35000,4500,Completed
ORD-42773,2024-01-03 09:32:00,U-5071,P14,L-NC1,Chant,2,2000,300,Failed
ORD-46688,2024-01-03 10:45:00,U-5872,P16,L-NW1,Chant,1,8500,3800,Completed
ORD-41553,2024-01-03 13:44:00,U-5591,P16,L-SW2,Reels,1,8500,3800,Completed
ORD-46955,2024-01-03 14:50:00,U-5609,P13,L-NW1,Profile Feed,1,4500,2100,Completed
ORD-45380,2024-01-03 16:12:00,U-5164,P10,L-NC1,Search,1,12500,7200,Completed
ORD-44992,2024-01-03 16:14:00,U-5090,P11,L-SW1,Chant,2,35000,4500,Completed
ORD-47035,2024-01-03 16:35:00,U-5292,P11,L-NC1,Reels,3,35000,4500,Completed
ORD-40298,2024-01-03 18:18:00,U-5663,P16,L-NW1,Reels,1,8500,3800,Completed
ORD-40102,2024-01-03 18:22:00,U-5225,P13,L-SW1,Chant,1,4500,2100,Completed
ORD-41268,2024-01-03 18:41:00,U-5335,P12,L-NC1,Chant,1,28000,19000,Completed
ORD-44612,2024-01-03 19:23:00,U-5145,P14,L-SS1,Reels,3,2000,300,Completed
ORD-45629,2024-01-03 19:23:00,U-5049,P14,L-SW1,Reels,1,2000,300,Completed
ORD-45907,2024-01-03 19:48:00,U-5216,P16,L-SW1,Reels,1,8500,3800,Completed
ORD-47497,2024-01-03 20:06:00,U-5466,P14,L-SW2,Direct Link,1,2000,300,Completed
ORD-41123,2024-01-03 21:32:00,U-5675,P10,L-SW1,Chant,1,12500,7200,Completed
ORD-43674,2024-01-03 22:00:00,U-5126,P10,L-SW2,Direct Link,1,12500,7200,Completed
ORD-45876,2024-01-03 22:11:00,U-5820,P11,L-SW1,Chant,1,35000,4500,Completed
ORD-45947,2024-01-03 23:23:00,U-5132,P16,L-SS1,Reels,1,8500,3800,Completed
ORD-41310,2024-01-03 23:49:00,U-5882,P10,L-SE1,Reels,2,12500,7200,Completed
ORD-43603,2024-01-04 08:13:00,U-5302,P15,L-NW1,Reels,2,6000,1500,Completed
ORD-46026,2024-01-04 08:26:00,U-5626,P14,L-SW2,Reels,1,2000,300,Completed
ORD-44584,2024-01-04 08:46:00,U-5162,P13,L-SW2,Reels,1,4500,2100,Completed
ORD-47000,2024-01-04 09:05:00,U-5741,P10,L-SS1,Direct Link,1,12500,7200,Completed
ORD-40042,2024-01-04 09:46:00,U-5244,P14,L-NW1,Chant,1,2000,300,Completed
ORD-47076,2024-01-04 11:29:00,U-5302,P16,L-SW1,Chant,1,8500,3800,Completed
ORD-44991,2024-01-04 12:55:00,U-5632,P14,L-SE1,Reels,1,2000,300,Completed
ORD-41774,2024-01-04 14:22:00,U-5277,P10,L-SE1,Profile Feed,1,12500,7200,Completed
ORD-45106,2024-01-04 15:28:00,U-5879,P16,L-NW1,Direct Link,1,8500,3800,Refunded
ORD-46678,2024-01-04 15:35:00,U-5011,P15,L-NC1,Direct Link,1,6000,1500,Completed
ORD-42239,2024-01-04 15:56:00,U-5592,P13,L-SW1,Chant,1,4500,2100,Completed
ORD-41878,2024-01-04 16:37:00,U-5640,P11,L-SW2,Search,1,35000,4500,Completed
ORD-43186,2024-01-04 17:18:00,U-5168,P14,L-SE1,Chant,1,2000,300,Completed
ORD-41806,2024-01-04 17:48:00,U-5499,P13,L-SW2,Reels,1,4500,2100,Completed
ORD-46364,2024-01-04 19:02:00,U-5336,P12,L-NC1,Reels,1,28000,19000,Completed
ORD-44914,2024-01-04 19:06:00,U-5957,P12,L-SW2,Reels,1,28000,19000,Completed
ORD-41565,2024-01-04 19:32:00,U-5802,P14,L-NW1,Reels,1,2000,300,Completed
ORD-47236,2024-01-04 19:49:00,U-5547,P12,L-NC1,Reels,1,28000,19000,Failed
ORD-43898,2024-01-04 20:03:00,U-5294,P12,L-NC1,Direct Link,1,28000,19000,Completed
ORD-41749,2024-01-04 20:07:00,U-5721,P12,L-NW1,Direct Link,3,28000,19000,Completed
ORD-41853,2024-01-04 20:32:00,U-5807,P15,L-NW1,Reels,1,6000,1500,Completed
ORD-46129,2024-01-04 21:36:00,U-5876,P16,L-SE1,Reels,1,8500,3800,Refunded
ORD-41892,2024-01-04 21:38:00,U-5378,P16,L-SS1,Reels,2,8500,3800,Completed
ORD-44318,2024-01-04 22:29:00,U-5237,P16,L-NC1,Chant,2,8500,3800,Completed
ORD-44375,2024-01-04 22:41:00,U-5758,P12,L-SS1,Search,1,28000,19000,Completed
ORD-42721,2024-01-04 23:45:00,U-5150,P12,L-SW2,Direct Link,1,28000,19000,Completed
ORD-46917,2024-01-05 03:35:00,U-5256,P10,L-NW1,Chant,1,12500,7200,Completed
ORD-40382,2024-01-05 08:59:00,U-5212,P11,L-NC1,Direct Link,1,35000,4500,Completed
ORD-42753,2024-01-05 11:07:00,U-5798,P10,L-NC1,Chant,1,12500,7200,Completed
ORD-40296,2024-01-05 13:00:00,U-5605,P14,L-NC1,Chant,1,2000,300,Completed
ORD-42035,2024-01-05 14:26:00,U-5638,P15,L-SW1,Reels,1,6000,1500,Completed
ORD-46889,2024-01-05 15:29:00,U-5236,P10,L-NW1,Reels,2,12500,7200,Completed
ORD-46995,2024-01-05 16:50:00,U-5136,P15,L-NW1,Reels,2,6000,1500,Completed
ORD-41298,2024-01-05 16:51:00,U-5472,P13,L-NW1,Reels,1,4500,2100,Completed
ORD-47361,2024-01-05 17:16:00,U-5548,P15,L-NW1,Search,1,6000,1500,Completed
ORD-45593,2024-01-05 19:13:00,U-5239,P16,L-SW2,Profile Feed,1,8500,3800,Completed
ORD-46491,2024-01-05 19:13:00,U-5892,P15,L-SE1,Reels,2,6000,1500,Completed
ORD-40792,2024-01-05 19:32:00,U-5040,P15,L-SW2,Reels,1,6000,1500,Completed
ORD-41699,2024-01-05 20:05:00,U-5363,P11,L-SS1,Profile Feed,1,35000,4500,Completed
ORD-44432,2024-01-05 20:15:00,U-5103,P16,L-SS1,Reels,1,8500,3800,Completed
ORD-41181,2024-01-05 20:29:00,U-5001,P12,L-SW1,Direct Link,1,28000,19000,Completed
ORD-46430,2024-01-05 20:50:00,U-5022,P12,L-SW1,Reels,1,28000,19000,Completed
ORD-44483,2024-01-05 21:12:00,U-5517,P12,L-SW1,Reels,1,28000,19000,Completed
ORD-43329,2024-01-06 02:41:00,U-5882,P16,L-SE1,Search,1,8500,3800,Completed
ORD-47226,2024-01-06 06:58:00,U-5490,P13,L-SS1,Profile Feed,1,4500,2100,Completed
ORD-45778,2024-01-06 07:14:00,U-5796,P13,L-NC1,Reels,1,4500,2100,Completed
ORD-43708,2024-01-06 09:11:00,U-5232,P16,L-SE1,Reels,3,8500,3800,Completed
ORD-42634,2024-01-06 10:40:00,U-5310,P16,L-NW1,Reels,1,8500,3800,Completed
ORD-42699,2024-01-06 13:42:00,U-5820,P11,L-SS1,Reels,1,35000,4500,Completed
ORD-42884,2024-01-06 14:04:00,U-5732,P10,L-SS1,Chant,1,12500,7200,Completed
ORD-40384,2024-01-06 14:45:00,U-5230,P15,L-SS1,Direct Link,1,6000,1500,Completed
ORD-44440,2024-01-06 17:11:00,U-5833,P16,L-SW2,Chant,2,8500,3800,Completed
ORD-44458,2024-01-06 18:07:00,U-5368,P10,L-NW1,Profile Feed,1,12500,7200,Completed
ORD-44484,2024-01-06 19:13:00,U-5122,P11,L-SW2,Reels,3,35000,4500,Completed
ORD-43441,2024-01-06 19:40:00,U-5791,P10,L-NC1,Chant,2,12500,7200,Completed
ORD-40922,2024-01-06 20:30:00,U-5009,P11,L-NC1,Reels,1,35000,4500,Failed
ORD-46189,2024-01-06 20:32:00,U-5617,P11,L-SW1,Chant,1,35000,4500,Completed
ORD-43664,2024-01-06 20:38:00,U-5722,P12,L-NC1,Chant,1,28000,19000,Failed
ORD-45873,2024-01-06 20:43:00,U-5541,P16,L-SW1,Chant,2,8500,3800,Completed
ORD-42722,2024-01-06 21:44:00,U-5517,P14,L-SS1,Direct Link,1,2000,300,Completed
ORD-44467,2024-01-06 23:42:00,U-5944,P12,L-NW1,Direct Link,2,28000,19000,Completed
ORD-43452,2024-01-07 04:00:00,U-5427,P13,L-NW1,Chant,2,4500,2100,Completed
ORD-47040,2024-01-07 07:48:00,U-5783,P12,L-SS1,Chant,1,28000,19000,Completed
ORD-47255,2024-01-07 09:51:00,U-5171,P11,L-NW1,Profile Feed,2,35000,4500,Completed
ORD-46657,2024-01-07 10:59:00,U-5567,P10,L-SW2,Reels,1,12500,7200,Completed
ORD-45997,2024-01-07 12:46:00,U-5163,P16,L-NW1,Reels,1,8500,3800,Completed
ORD-46175,2024-01-07 13:47:00,U-5235,P10,L-SW1,Chant,1,12500,7200,Failed
ORD-41741,2024-01-07 17:07:00,U-5476,P14,L-SW2,Reels,1,2000,300,Completed
ORD-41812,2024-01-07 17:58:00,U-5809,P10,L-SW1,Reels,1,12500,7200,Completed
ORD-44262,2024-01-07 18:39:00,U-5917,P14,L-SW1,Reels,1,2000,300,Failed
ORD-46367,2024-01-07 19:03:00,U-5543,P12,L-SW2,Direct Link,1,28000,19000,Refunded
ORD-40833,2024-01-07 19:59:00,U-5997,P10,L-NC1,Reels,1,12500,7200,Completed
ORD-44158,2024-01-07 20:51:00,U-5039,P12,L-SS1,Profile Feed,1,28000,19000,Completed
ORD-44933,2024-01-07 21:14:00,U-5769,P12,L-NW1,Direct Link,1,28000,19000,Completed
ORD-42920,2024-01-07 21:56:00,U-5112,P12,L-SW1,Reels,1,28000,19000,Failed
ORD-45654,2024-01-08 08:58:00,U-5896,P10,L-SE1,Reels,1,12500,7200,Completed
ORD-47461,2024-01-08 10:19:00,U-5804,P10,L-SW2,Reels,1,12500,7200,Completed
ORD-40940,2024-01-08 11:44:00,U-5851,P15,L-NC1,Reels,1,6000,1500,Completed
ORD-46865,2024-01-08 13:03:00,U-5416,P11,L-SW1,Reels,1,35000,4500,Completed
ORD-41191,2024-01-08 14:00:00,U-5371,P13,L-SS1,Chant,1,4500,2100,Completed
ORD-42700,2024-01-08 16:13:00,U-5839,P15,L-SW2,Chant,1,6000,1500,Completed
ORD-43275,2024-01-08 16:32:00,U-5373,P16,L-SS1,Profile Feed,1,8500,3800,Completed
ORD-46519,2024-01-08 18:10:00,U-5214,P11,L-NC1,Reels,1,35000,4500,Completed
ORD-43353,2024-01-08 19:07:00,U-5719,P11,L-SE1,Reels,1,35000,4500,Completed
ORD-41376,2024-01-08 19:36:00,U-5051,P11,L-NC1,Reels,1,35000,4500,Completed
ORD-43325,2024-01-08 19:39:00,U-5090,P11,L-SS1,Direct Link,1,35000,4500,Completed
ORD-44626,2024-01-08 20:24:00,U-5959,P14,L-SW2,Reels,1,2000,300,Completed
ORD-40111,2024-01-08 20:58:00,U-5802,P13,L-SW2,Profile Feed,1,4500,2100,Completed
ORD-46714,2024-01-08 21:22:00,U-5778,P16,L-SW2,Reels,1,8500,3800,Completed
ORD-42200,2024-01-08 21:49:00,U-5726,P12,L-NW1,Reels,1,28000,19000,Failed
ORD-44909,2024-01-08 21:51:00,U-5155,P13,L-SW1,Reels,1,4500,2100,Completed
ORD-47481,2024-01-08 22:03:00,U-5782,P10,L-NW1,Direct Link,1,12500,7200,Completed
ORD-44788,2024-01-08 22:07:00,U-5168,P11,L-SE1,Reels,1,35000,4500,Completed
ORD-46034,2024-01-08 22:54:00,U-5997,P12,L-SW1,Chant,1,28000,19000,Completed
ORD-47065,2024-01-08 23:48:00,U-5016,P13,L-NW1,Reels,1,4500,2100,Failed
ORD-40709,2024-01-09 00:37:00,U-5911,P10,L-SE1,Search,1,12500,7200,Completed
ORD-41948,2024-01-09 07:49:00,U-5977,P16,L-SS1,Reels,1,8500,3800,Completed
ORD-44034,2024-01-09 09:35:00,U-5967,P13,L-SW2,Chant,2,4500,2100,Completed
ORD-44563,2024-01-09 10:05:00,U-5228,P13,L-NC1,Reels,1,4500,2100,Completed
ORD-46731,2024-01-09 10:45:00,U-5227,P16,L-SE1,Reels,1,8500,3800,Completed
ORD-42415,2024-01-09 10:57:00,U-5723,P14,L-SW1,Reels,1,2000,300,Completed
ORD-46927,2024-01-09 12:45:00,U-5416,P15,L-SW2,Reels,1,6000,1500,Completed
ORD-44819,2024-01-09 14:50:00,U-5649,P11,L-SS1,Profile Feed,1,35000,4500,Completed
ORD-45865,2024-01-09 17:24:00,U-5969,P10,L-SW1,Chant,1,12500,7200,Completed
ORD-43115,2024-01-09 17:26:00,U-5631,P12,L-SS1,Chant,1,28000,19000,Completed
ORD-40897,2024-01-09 17:40:00,U-5031,P13,L-NC1,Direct Link,1,4500,2100,Failed
ORD-41033,2024-01-09 18:02:00,U-5937,P16,L-SE1,Reels,1,8500,3800,Completed
ORD-42243,2024-01-09 18:09:00,U-5018,P11,L-SW1,Chant,1,35000,4500,Completed
ORD-45604,2024-01-09 18:30:00,U-5384,P16,L-NW1,Search,1,8500,3800,Completed
ORD-43438,2024-01-09 18:30:00,U-5683,P11,L-SE1,Chant,1,35000,4500,Completed
ORD-40642,2024-01-09 19:06:00,U-5684,P14,L-NW1,Chant,2,2000,300,Completed
ORD-44073,2024-01-09 19:16:00,U-5712,P13,L-NC1,Search,2,4500,2100,Completed
ORD-40807,2024-01-09 20:11:00,U-5102,P11,L-SW1,Direct Link,1,35000,4500,Completed
ORD-44452,2024-01-09 20:13:00,U-5179,P11,L-SS1,Reels,1,35000,4500,Completed
ORD-46910,2024-01-09 20:20:00,U-5937,P14,L-NW1,Reels,1,2000,300,Completed
ORD-44331,2024-01-09 23:08:00,U-5293,P10,L-SS1,Reels,1,12500,7200,Completed
ORD-42818,2024-01-10 17:46:00,U-5637,P14,L-SS1,Chant,2,2000,300,Completed
ORD-43675,2024-01-10 18:21:00,U-5965,P16,L-NW1,Reels,1,8500,3800,Failed
ORD-43845,2024-01-10 18:26:00,U-5949,P16,L-SW1,Direct Link,1,8500,3800,Completed
ORD-41391,2024-01-10 18:33:00,U-5580,P12,L-SS1,Reels,3,28000,19000,Completed
ORD-45771,2024-01-10 19:42:00,U-5326,P11,L-SW2,Chant,1,35000,4500,Failed
ORD-42726,2024-01-10 20:05:00,U-5846,P15,L-NC1,Reels,1,6000,1500,Completed
ORD-43440,2024-01-10 20:18:00,U-5874,P11,L-SW2,Chant,1,35000,4500,Completed
ORD-42359,2024-01-10 20:32:00,U-5982,P11,L-NC1,Reels,1,35000,4500,Completed
ORD-43593,2024-01-10 20:41:00,U-5793,P15,L-SW1,Reels,1,6000,1500,Completed
ORD-41758,2024-01-10 20:59:00,U-5240,P14,L-SS1,Chant,2,2000,300,Completed
ORD-46392,2024-01-10 21:21:00,U-5052,P13,L-NW1,Chant,1,4500,2100,Completed
ORD-47279,2024-01-10 21:59:00,U-5617,P14,L-NC1,Profile Feed,2,2000,300,Completed
ORD-41143,2024-01-11 13:00:00,U-5805,P16,L-NW1,Reels,1,8500,3800,Completed
ORD-44947,2024-01-11 14:46:00,U-5977,P11,L-NC1,Direct Link,2,35000,4500,Completed
ORD-43081,2024-01-11 15:23:00,U-5676,P16,L-SS1,Search,1,8500,3800,Completed
ORD-44111,2024-01-11 19:01:00,U-5902,P16,L-SS1,Direct Link,2,8500,3800,Completed
ORD-45493,2024-01-11 19:19:00,U-5588,P10,L-NC1,Reels,1,12500,7200,Completed
ORD-40437,2024-01-11 19:20:00,U-5008,P15,L-SE1,Reels,1,6000,1500,Completed
ORD-45751,2024-01-11 19:20:00,U-5120,P13,L-SE1,Chant,1,4500,2100,Completed
ORD-41279,2024-01-11 19:56:00,U-5250,P11,L-SS1,Reels,1,35000,4500,Completed
ORD-45857,2024-01-11 19:58:00,U-5709,P16,L-SW2,Reels,1,8500,3800,Completed
ORD-44975,2024-01-11 20:17:00,U-5286,P12,L-SE1,Direct Link,1,28000,19000,Completed
ORD-41043,2024-01-11 20:46:00,U-5310,P15,L-SE1,Profile Feed,1,6000,1500,Completed
ORD-44379,2024-01-11 20:49:00,U-5017,P16,L-NW1,Chant,1,8500,3800,Refunded
ORD-46475,2024-01-11 21:26:00,U-5687,P12,L-SW1,Reels,1,28000,19000,Completed
ORD-41234,2024-01-11 21:29:00,U-5180,P15,L-SE1,Direct Link,1,6000,1500,Completed
ORD-47181,2024-01-11 22:09:00,U-5488,P12,L-SW2,Reels,1,28000,19000,Completed
ORD-45763,2024-01-11 22:37:00,U-5932,P14,L-SW1,Reels,1,2000,300,Failed
ORD-42171,2024-01-11 22:48:00,U-5672,P15,L-SE1,Reels,1,6000,1500,Completed
ORD-46434,2024-01-12 09:23:00,U-5373,P15,L-SW1,Direct Link,1,6000,1500,Completed
ORD-45710,2024-01-12 17:13:00,U-5556,P14,L-NC1,Chant,1,2000,300,Completed
ORD-45379,2024-01-12 18:15:00,U-5533,P13,L-SW2,Direct Link,3,4500,2100,Completed
ORD-44511,2024-01-12 18:35:00,U-5491,P13,L-SW1,Direct Link,2,4500,2100,Completed
ORD-40048,2024-01-12 19:30:00,U-5993,P16,L-NW1,Reels,1,8500,3800,Completed
ORD-43407,2024-01-12 19:32:00,U-5077,P12,L-SS1,Direct Link,1,28000,19000,Completed
ORD-47408,2024-01-12 20:20:00,U-5508,P11,L-SE1,Reels,1,35000,4500,Completed
ORD-40446,2024-01-12 20:33:00,U-5993,P10,L-SE1,Reels,2,12500,7200,Completed
ORD-43037,2024-01-12 20:43:00,U-5777,P13,L-SW2,Reels,1,4500,2100,Completed
ORD-45669,2024-01-12 20:53:00,U-5288,P15,L-NC1,Reels,1,6000,1500,Completed
ORD-41237,2024-01-12 21:14:00,U-5907,P16,L-NW1,Chant,1,8500,3800,Completed
ORD-47157,2024-01-12 22:00:00,U-5411,P15,L-SW2,Chant,1,6000,1500,Completed
ORD-43646,2024-01-12 22:34:00,U-5211,P12,L-SE1,Profile Feed,3,28000,19000,Completed
ORD-42071,2024-01-12 22:39:00,U-5919,P15,L-NW1,Chant,1,6000,1500,Failed
ORD-43488,2024-01-12 22:45:00,U-5693,P14,L-NC1,Reels,1,2000,300,Completed
ORD-45041,2024-01-12 22:51:00,U-5789,P12,L-SE1,Reels,1,28000,19000,Completed
ORD-44790,2024-01-12 22:57:00,U-5269,P15,L-NC1,Direct Link,1,6000,1500,Completed
ORD-42478,2024-01-13 07:22:00,U-5634,P11,L-SS1,Reels,1,35000,4500,Completed
ORD-47147,2024-01-13 08:15:00,U-5894,P12,L-NC1,Reels,1,28000,19000,Failed
ORD-45418,2024-01-13 08:30:00,U-5523,P12,L-NW1,Reels,1,28000,19000,Completed
ORD-40426,2024-01-13 08:51:00,U-5922,P12,L-SW1,Chant,1,28000,19000,Completed
ORD-45768,2024-01-13 12:42:00,U-5501,P14,L-NW1,Profile Feed,2,2000,300,Completed
ORD-45257,2024-01-13 13:00:00,U-5002,P10,L-SW2,Chant,1,12500,7200,Completed
ORD-40236,2024-01-13 14:34:00,U-5578,P16,L-SW1,Chant,2,8500,3800,Completed
ORD-41367,2024-01-13 16:33:00,U-5090,P11,L-NC1,Search,1,35000,4500,Completed
ORD-46890,2024-01-13 19:08:00,U-5472,P16,L-SS1,Search,1,8500,3800,Completed
ORD-44955,2024-01-13 19:36:00,U-5084,P16,L-SW1,Reels,1,8500,3800,Failed
ORD-44385,2024-01-13 20:26:00,U-5899,P10,L-SW2,Profile Feed,1,12500,7200,Completed
ORD-44592,2024-01-13 20:43:00,U-5766,P10,L-NW1,Chant,1,12500,7200,Completed
ORD-47423,2024-01-13 21:23:00,U-5684,P14,L-SE1,Profile Feed,1,2000,300,Completed
ORD-43924,2024-01-13 21:24:00,U-5764,P13,L-SE1,Profile Feed,1,4500,2100,Completed
ORD-40386,2024-01-13 21:49:00,U-5524,P10,L-SE1,Profile Feed,1,12500,7200,Completed
ORD-43973,2024-01-13 22:45:00,U-5650,P11,L-SE1,Reels,1,35000,4500,Completed
ORD-42521,2024-01-14 08:23:00,U-5137,P13,L-SS1,Reels,1,4500,2100,Completed
ORD-41491,2024-01-14 08:25:00,U-5637,P10,L-NC1,Reels,2,12500,7200,Completed
ORD-40875,2024-01-14 10:08:00,U-5219,P15,L-SE1,Reels,1,6000,1500,Completed
ORD-41354,2024-01-14 11:00:00,U-5278,P11,L-NC1,Reels,2,35000,4500,Completed
ORD-45014,2024-01-14 15:45:00,U-5758,P16,L-SE1,Direct Link,2,8500,3800,Completed
ORD-43522,2024-01-14 18:56:00,U-5053,P13,L-NW1,Reels,1,4500,2100,Completed
ORD-44856,2024-01-14 19:17:00,U-5792,P13,L-NC1,Chant,2,4500,2100,Completed
ORD-46219,2024-01-14 19:36:00,U-5668,P11,L-SW1,Reels,1,35000,4500,Completed
ORD-47405,2024-01-14 19:52:00,U-5627,P10,L-SS1,Chant,1,12500,7200,Completed
ORD-47370,2024-01-14 20:02:00,U-5185,P16,L-SS1,Chant,1,8500,3800,Failed
ORD-43230,2024-01-14 20:45:00,U-5749,P14,L-NW1,Chant,1,2000,300,Completed
ORD-44035,2024-01-14 22:57:00,U-5221,P10,L-NC1,Reels,1,12500,7200,Completed
ORD-47483,2024-01-14 23:56:00,U-5778,P14,L-SE1,Chant,1,2000,300,Completed
ORD-40566,2024-01-15 08:26:00,U-5362,P13,L-SW2,Reels,1,4500,2100,Completed
ORD-44468,2024-01-15 12:34:00,U-5411,P11,L-SW1,Reels,1,35000,4500,Completed
ORD-40172,2024-01-15 13:15:00,U-5893,P11,L-SE1,Search,1,35000,4500,Completed
ORD-41094,2024-01-15 13:29:00,U-5119,P12,L-SS1,Chant,1,28000,19000,Completed
ORD-42247,2024-01-15 14:30:00,U-5425,P15,L-SW1,Search,1,6000,1500,Failed
ORD-46575,2024-01-15 17:20:00,U-5776,P12,L-SW1,Chant,1,28000,19000,Completed
ORD-45420,2024-01-15 17:47:00,U-5687,P15,L-SE1,Reels,2,6000,1500,Completed
ORD-44884,2024-01-15 19:19:00,U-5740,P11,L-NW1,Reels,1,35000,4500,Completed
ORD-41543,2024-01-15 19:49:00,U-5903,P12,L-SW2,Search,1,28000,19000,Completed
ORD-40352,2024-01-15 19:52:00,U-5282,P11,L-SS1,Reels,1,35000,4500,Completed
ORD-44627,2024-01-15 19:53:00,U-5378,P13,L-NC1,Reels,1,4500,2100,Completed
ORD-43121,2024-01-15 20:03:00,U-5525,P11,L-NC1,Chant,1,35000,4500,Completed
ORD-40397,2024-01-15 21:52:00,U-5099,P11,L-SS1,Chant,1,35000,4500,Completed
ORD-46658,2024-01-15 22:19:00,U-5904,P14,L-NW1,Chant,1,2000,300,Completed
ORD-44689,2024-01-15 22:23:00,U-5190,P15,L-SW2,Reels,2,6000,1500,Completed
ORD-41788,2024-01-15 23:35:00,U-5169,P13,L-NC1,Reels,1,4500,2100,Completed
ORD-47006,2024-01-16 07:51:00,U-5504,P14,L-SW1,Search,1,2000,300,Completed
ORD-40433,2024-01-16 09:52:00,U-5600,P11,L-NW1,Reels,1,35000,4500,Completed
ORD-44998,2024-01-16 09:54:00,U-5902,P10,L-NC1,Reels,1,12500,7200,Completed
ORD-40129,2024-01-16 10:37:00,U-5526,P15,L-SW1,Reels,1,6000,1500,Completed
ORD-45513,2024-01-16 11:31:00,U-5465,P10,L-SS1,Chant,1,12500,7200,Completed
ORD-43291,2024-01-16 12:29:00,U-5225,P14,L-NW1,Direct Link,1,2000,300,Failed
ORD-42042,2024-01-16 15:41:00,U-5299,P10,L-NW1,Chant,1,12500,7200,Completed
ORD-47133,2024-01-16 18:27:00,U-5181,P10,L-SS1,Reels,1,12500,7200,Completed
ORD-43139,2024-01-16 18:31:00,U-5206,P14,L-SW1,Chant,3,2000,300,Completed
ORD-42547,2024-01-16 19:09:00,U-5754,P10,L-NC1,Profile Feed,1,12500,7200,Completed
ORD-43914,2024-01-16 19:32:00,U-5034,P11,L-SE1,Search,1,35000,4500,Completed
ORD-46166,2024-01-16 20:03:00,U-5018,P13,L-SW1,Reels,1,4500,2100,Completed
ORD-44017,2024-01-16 20:20:00,U-5656,P16,L-SE1,Reels,1,8500,3800,Refunded
ORD-44132,2024-01-16 21:03:00,U-5725,P15,L-SW1,Reels,1,6000,1500,Completed
